Name,Price_USD,Change_24h_%,Market_Cap
Hedera,0.070857,4.40363,3102901846
Rain,0.01461617,4.27206,10151163593
Gram (prev. Toncoin),1.5,2.62126,4104832517
TRON,0.329427,0.89015,31254556798
Monero,350.31,0.71998,6579315768
XRP,1.13,-0.03883,70796120270
LEO Token,9.71,-0.045,8937217809
Canton,0.124733,-0.44251,4881131517
Bitcoin,65847.0,-0.65088,1320876241924
WhiteBIT Coin,57.38,-0.80081,6769090607
Ethereum,1920.25,-1.02728,231761611670
Solana,77.38,-1.3021,45095878814
Bitcoin Cash,220.72,-1.37337,4428570427
Cardano,0.172706,-1.38656,6439795302
Chainlink,8.6,-1.45724,6431974732
Dogecoin,0.072393,-1.48323,11233502582
Stellar,0.189494,-1.5666,6475162756
BNB,569.37,-1.66223,75820232638
Sui,0.758467,-1.87481,3073480105
Litecoin,46.46,-2.54427,3596804472
Zcash,514.9,-4.81061,8645883546
Hyperliquid,58.77,-7.01604,13080416170
